"cod_hda_key","fecha_visita","radicado","hda_label","ingenio_full","municipio","corregimiento","coordenadas","categoria_alerta","boletin_n"
"MN_000376",NA,NA,"DOS CEIBAS_376","MANUELITA","Palmira","Palmaseca","3.5027, -76.4412","Alerta Inminente","7"
"MN_000384",NA,NA,"VICTORIA 1_384","MANUELITA","Palmira","Juanchito","3.4824, -76.4624","Alerta Inminente + Focalización Operativa","3, 4"
"MN_000422",NA,NA,"SAN ANTONIO REYESNELSON_422","MANUELITA","Palmira","La Herradura","3.5427, -76.3363","Alerta Inminente","5, 7"
"MN_000434",NA,NA,"EDEN VILLEGAS_434","MANUELITA","Candelaria","San Joaquin","3.3608, -76.4359","Alerta Boletín Histórico","2"
"MN_000442",NA,NA,"SAN JOAQUIN_442","MANUELITA","El Cerrito","San Antonio","3.6677, -76.3456","Alerta Boletín Histórico","3, 4"
"MN_000443",NA,NA,"SANTA MARTHA SARDI_443","MANUELITA","Candelaria","El Lauro","3.438, -76.3892","Alerta Inminente","4, 7"
"MN_000460",NA,NA,"EL ARADO_460","MANUELITA","Pradera","La Floresta","3.4133, -76.2491","Alerta Inminente + Focalización Operativa","3, 4, 5, 6, 7"
"MN_000475",NA,NA,"BELEN CUCALON_475","MANUELITA","Palmira","Zamorano","3.5537, -76.2822","Alerta Boletín Histórico","2, 3, 4"
"MN_000476",NA,NA,"LA HERRADURA_476","MANUELITA","Palmira","Coronado","3.5459, -76.3439","Alerta Boletín Histórico","4"
"MN_000741",NA,NA,"SANTA CLARA_741","MANUELITA","Candelaria","Madrevieja","3.4644, -76.2906","Alerta Inminente","2, 7"
"MN_000768",NA,NA,"LOTE NAYI_768","MANUELITA","Palmira","Juanchito","3.4837, -76.4583","Alerta Boletín Histórico","2, 3"
"MN_000796",NA,NA,"CONCORDIA_796","MANUELITA","Pradera","La Floresta","3.4003, -76.2457","Alerta Inminente + Focalización Operativa","5, 6, 7"
"MN_000940",NA,NA,"CHONDULAR_940","MANUELITA","Candelaria","El Lauro","3.4509, -76.3632","Alerta Boletín Histórico + Focalización Operativa","5, 6"
"MY_000001",NA,NA,"Santa Fe_1","MAYAGÜEZ","Candelaria","Madrevieja","3.4113, -76.3199","Alerta Inminente + Focalización Operativa","3, 4"
"MY_000002",NA,NA,"La Argelia_2","MAYAGÜEZ","Pradera","La Floresta","3.4067, -76.2308","Alerta Boletín Histórico","3, 4"
"MY_000004",NA,NA,"La Magnolia_4","MAYAGÜEZ","Candelaria","El Tiple","3.3327, -76.3929","Alerta Inminente","3, 4, 5, 7"
"MY_000008",NA,NA,"La Linda_8","MAYAGÜEZ","Pradera","La Tupia","3.4145, -76.2838","Focalización Operativa + Alerta Boletín Histórico","3, 4"
"MY_000010",NA,NA,"MayagA?ez_10","MAYAGÜEZ","Candelaria","Madrevieja","3.3991, -76.3219","Alerta Inminente","5, 7"
"MY_000012",NA,NA,"San Rafael_12","MAYAGÜEZ","Pradera","La Tupia","3.3862, -76.3224","Alerta Boletín Histórico","2"
"MY_000014",NA,NA,"Zainera_14","MAYAGÜEZ","Candelaria","Madrevieja","3.4186, -76.3142","Alerta Inminente + Focalización Operativa","7"
"MY_000015",NA,NA,"La Camelia_15","MAYAGÜEZ","Pradera","La Tupia","3.4084, -76.3105","Focalización Operativa + Alerta Boletín Histórico","3, 4"
"MY_000016",NA,NA,"Balsora_16","MAYAGÜEZ","Candelaria","Madrevieja","3.4372, -76.3095","Alerta Inminente","2"
"MY_000017",NA,NA,"La Colombiana_17","MAYAGÜEZ","Candelaria","Arenal","3.3949, -76.3407","Alerta Inminente","7"
"MY_000018",NA,NA,"El Cofre_18","MAYAGÜEZ","Candelaria","La Regina","3.3839, -76.3437","Alerta Boletín Histórico + Focalización Operativa","2, 3, 4, 5, 6"
"MY_000027",NA,NA,"Venecia_27","MAYAGÜEZ","Pradera","La Tupia","3.4205, -76.3076","Alerta Boletín Histórico","2"
"MY_000028",NA,NA,"Rivera_28","MAYAGÜEZ","Candelaria","Madrevieja","3.4241, -76.3307","Alerta Boletín Histórico","4"
"MY_000029",NA,NA,"Alvaro Reyes_29","MAYAGÜEZ","Candelaria","Madrevieja","3.4355, -76.3477","Alerta Inminente + Focalización Operativa","6, 7"
"MY_000032",NA,NA,"Arauca_32","MAYAGÜEZ","Florida","Tarragona","3.2941, -76.3382","Alerta Inminente + Focalización Operativa","3, 4, 5, 6, 7"
"MY_000036",NA,NA,"Potrero de PA rraga_36","MAYAGÜEZ","Candelaria","Arenal","3.3853, -76.3497","Focalización Operativa","5"
"MY_000047",NA,NA,"Escocia_47","MAYAGÜEZ","Candelaria","Arenal","3.3751, -76.3494","Alerta Boletín Histórico","3, 4"
"MY_000048",NA,NA,"El Arenal_48","MAYAGÜEZ","Candelaria","Arenal","3.39, -76.355","Alerta Inminente + Focalización Operativa + Top 10 Regional","3, 4, 5, 6, 7"
"MY_000049",NA,NA,"San Josa?s_49","MAYAGÜEZ","Candelaria","San Joaquin","3.3929, -76.4235","Alerta Boletín Histórico + Alerta Inminente","5, 6"
"MY_000065",NA,NA,"TurA!n_65","MAYAGÜEZ","Candelaria","El Lauro","3.4424, -76.3488","Alerta Boletín Histórico","2, 3"
