"COD_HDA_8","LAT","LON","Notas","Fecha_Georref"
"CB000015",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000016",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000018",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000023",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000032",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000049",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000051",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000055",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000067",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000073",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000114",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000119",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000122",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000125",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000127",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000136",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000141",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000142",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000143",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000191",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000205",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000219",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000221",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000239",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000242",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000243",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000249",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000265",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000317",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000323",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000328",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000353",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000365",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000366",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000370",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000378",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000407",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000410",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000412",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000421",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000441",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
