Ingenio,Hacienda,Suerte,Municipio,Corregimiento,Codigo_14,Municipio_Clean,h8,Es_Hacienda_Ausente,Hda_Real,DAR
Castilla,AVELINA,060,Pradera,La Granja,CC000503000060,PRADERA,CC000503,True,AVELINA,SURORIENTE
Castilla,LA UNION,051,Florida,Remolino,CC000117000051,FLORIDA,CC000117,True,LA UNION,SURORIENTE
Castilla,LA UNION,052,Florida,Remolino,CC000117000052,FLORIDA,CC000117,True,LA UNION,SURORIENTE
Castilla,LLANO MEDIO CASTILLA,014,Florida,Remolino,CC000217000014,FLORIDA,CC000217,True,LLANO MEDIO CASTILLA,SURORIENTE
Castilla,CALANDA,171,Florida,Remolino,CC000110000171,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,SAN RAFAEL,083,Pradera,La Tupia,CC000105000083,PRADERA,CC000105,True,SAN RAFAEL,SURORIENTE
Castilla,SAN RAFAEL,081,Pradera,La Tupia,CC000105000081,PRADERA,CC000105,True,SAN RAFAEL,SURORIENTE
Castilla,CALANDA,010,Florida,Remolino,CC000110000010,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,LLANO MEDIO CASTILLA,050,Florida,Remolino,CC000217000050,FLORIDA,CC000217,True,LLANO MEDIO CASTILLA,SURORIENTE
Castilla,CHAMORRAS,251,Pradera,La Tupia,CC000104000251,PRADERA,CC000104,True,CHAMORRAS,SURORIENTE
Castilla,CHAMORRAS,011,Pradera,La Tupia,CC000104000011,PRADERA,CC000104,True,CHAMORRAS,SURORIENTE
Castilla,CHAMORRAS,260,Pradera,La Tupia,CC000104000260,PRADERA,CC000104,True,CHAMORRAS,SURORIENTE
Castilla,CHAMORRAS,290,Pradera,La Tupia,CC000104000290,PRADERA,CC000104,True,CHAMORRAS,SURORIENTE
Castilla,CHAMORRAS,296,Pradera,La Tupia,CC000104000296,PRADERA,CC000104,True,CHAMORRAS,SURORIENTE
Castilla,CHAMORRAS,300,Pradera,La Tupia,CC000104000300,PRADERA,CC000104,True,CHAMORRAS,SURORIENTE
Castilla,CHAMORRAS,404,Pradera,La Tupia,CC000104000404,PRADERA,CC000104,True,CHAMORRAS,SURORIENTE
